字段1_文本,名称
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_247.html,- 247 疝门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_251.html,- 250 诸毒门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_254.html,- 254 杂治门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_257.html,- 257 食治门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_260.html,- 260 乳石门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_263.html,- 263 服饵门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_267.html,- 267 诸汤香煎门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_268.html,- 268 杂录门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_272.html,- 272 诸疮肿门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_282.html,- 282 痈疽门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_291.html,- 291 痈疽门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_294.html,- 294 瘿瘤门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_295.html,- 295 痔漏门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_299.html,- 299 上部疮门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_301.html,- 301 下部疮门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_302.html,- 302 金疮门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_304.html,- 304 刺疮门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_305.html,- 305 杖疮门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_306.html,- 306 诸虫兽伤门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_309.html,- 309 折伤门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_313.html,- 313 膏药门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_316.html,- 316 妇人诸疾门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_336.html,- 336 妊娠诸疾门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_345.html,- 345 产后诸疾门
https://www.theqi.com/simplified/cmed/oldbook/book114/b114_356.html,- 356 产难门
